employee_id,department,experience_years,salary,performance_score,satisfaction_rating,projects_completed,overtime_hours,training_hours,attrition_risk
106,Finance,4,130920.65,3.35,4.6,22,5.2,10,Medium
107,Marketing,3,106834.35,1.67,9.3,18,0.1,78,High
108,HR,19,74641.53,3.57,5.2,2,8.9,79,High
109,Marketing,20,69027.24,4.04,1.1,9,19.4,80,Medium
110,Marketing,18,60683.8,3.0,3.5,1,3.5,89,Low
111,Engineering,15,77194.65,3.17,1.4,12,10.8,1,Low
112,Marketing,9,71321.28,4.81,1.3,18,5.3,49,High
113,Finance,17,85275.91,4.39,3.5,25,2.7,11,Low
114,Marketing,14,69112.67,4.66,3.5,16,8.8,89,Medium
115,Engineering,15,103299.27,4.26,8.1,20,16.9,22,Medium
116,Finance,1,77500.92,1.44,9.8,13,7.8,17,Medium
117,Sales,21,69863.66,1.6,4.3,11,2.5,61,High
118,Marketing,22,95485.73,3.11,4.9,20,5.0,95,Low
119,Engineering,22,42549.53,1.98,8.6,11,5.0,61,Low
120,Sales,3,81819.77,2.91,3.4,10,9.8,37,Low
121,Sales,16,75511.43,2.58,2.4,6,12.1,66,Low
122,HR,23,46782.99,3.2,8.7,3,1.4,37,Low
123,Finance,11,40829.93,3.99,1.4,18,1.2,66,Low
124,Marketing,12,95206.9,3.86,6.6,0,7.1,93,Medium
125,Engineering,10,94255.81,3.08,6.1,27,1.5,60,High
126,HR,16,78451.17,4.29,4.1,23,4.5,0,Low
127,Finance,8,109333.16,2.72,3.8,28,21.8,93,Low
128,HR,6,83819.36,4.59,,2,3.0,44,High
129,Finance,12,99996.11,1.29,1.8,12,2.1,95,Low
130,Finance,24,83406.49,4.82,3.1,14,0.2,27,Low
131,Marketing,21,69483.81,3.62,7.6,1,11.0,20,Low
132,Finance,8,53849.37,2.52,5.9,10,3.6,12,Medium
133,HR,4,62931.27,1.79,2.2,3,0.2,26,Low
134,Finance,8,69857.55,2.92,8.9,18,15.6,99,High
135,Marketing,18,102263.06,1.78,4.5,28,16.4,6,Low
136,Marketing,5,90398.39,1.67,8.5,16,0.2,21,Medium
137,HR,9,,3.47,8.1,2,9.9,73,Low
138,Sales,4,92400.2,3.09,6.6,27,13.1,52,Low
139,Sales,22,85547.67,3.68,5.5,17,0.5,78,Medium
140,Finance,17,80238.75,4.72,9.8,7,11.3,78,Medium
141,Engineering,9,45026.81,3.13,2.3,21,10.8,3,Medium
142,Finance,1,97783.15,3.32,7.5,24,12.1,95,Medium
143,HR,21,65829.76,1.36,2.7,23,4.7,22,High
144,HR,20,96770.81,3.87,4.0,25,10.8,69,Medium
145,HR,13,98704.21,2.6,,18,5.1,87,Medium
146,HR,16,61599.22,4.91,9.5,4,2.6,83,Low
147,HR,13,93994.32,4.29,9.7,6,1.7,83,Low
148,Marketing,14,67780.25,3.09,2.6,20,10.5,75,Low
149,Sales,3,67899.35,1.49,1.2,7,5.8,32,Medium
150,HR,6,80149.46,4.44,,27,9.7,27,Low
151,Engineering,18,80689.45,4.2,4.8,4,20.8,7,Low
152,Engineering,19,75771.03,1.74,1.8,16,7.5,0,High
153,Engineering,5,48314.24,2.18,7.2,4,17.9,36,High
154,Engineering,15,72571.07,4.17,5.9,3,5.8,62,High
155,Marketing,2,120569.57,1.74,9.8,21,2.2,21,Low
156,Engineering,10,19319.92,4.67,3.0,18,5.6,69,Medium
157,HR,24,92394.81,2.7,4.6,26,3.5,20,Low
158,Finance,18,96142.5,1.35,5.9,20,12.4,95,Low
159,Engineering,13,47833.05,4.26,,1,4.0,34,Low
160,Marketing,5,65611.22,2.49,5.9,10,17.1,78,Low
161,Marketing,23,54985.66,3.11,6.5,21,6.6,4,Low
162,Engineering,24,112079.31,1.45,3.0,12,4.9,59,Medium
163,Finance,1,97060.51,1.01,8.6,14,5.0,45,Low
164,Engineering,22,98028.51,3.55,4.9,11,7.9,49,Medium
165,Marketing,1,77412.94,3.06,2.3,21,12.1,47,Medium
166,Sales,18,101241.84,3.37,7.0,20,1.6,5,Low
167,HR,15,74835.27,4.17,2.9,21,15.8,88,Low
168,Marketing,17,102183.15,3.59,1.9,10,6.6,55,Low
169,Engineering,11,72026.07,1.7,8.8,6,8.5,58,Medium
170,HR,21,61415.16,2.44,5.1,27,8.2,28,Low
171,Engineering,22,111219.01,4.62,7.7,4,14.9,70,Low
172,Engineering,17,74583.02,4.08,3.6,16,3.6,76,Low
173,Sales,13,57024.0,3.23,,23,10.4,17,Medium
174,HR,1,56807.32,2.02,2.0,19,14.5,1,High
175,HR,2,56868.43,2.21,4.2,8,9.2,7,Low
176,Sales,9,91888.85,3.93,9.8,13,7.6,74,Medium
177,Marketing,3,73022.74,4.4,8.1,25,1.0,96,Medium
178,Engineering,1,120959.18,3.69,5.5,11,4.3,53,High
179,Finance,21,98723.56,4.24,,5,7.8,37,Medium
180,Engineering,16,80142.76,4.07,8.8,16,1.1,47,Medium
181,Engineering,23,103077.95,1.6,5.9,18,0.4,26,Medium
182,Marketing,6,65089.85,2.7,7.8,18,5.3,19,High
183,Engineering,17,37904.28,1.61,7.8,25,3.7,11,Low
184,Sales,5,55208.34,1.94,1.2,15,3.7,42,Low
185,Sales,5,77944.16,4.48,2.1,11,10.4,60,Low
186,HR,6,70549.17,2.89,6.9,11,4.2,30,Medium
187,Finance,3,91488.31,3.14,2.5,19,10.3,90,Medium
188,Engineering,21,72507.72,1.71,3.3,5,8.7,95,Low
189,Engineering,23,89960.69,2.25,9.5,22,8.8,60,Medium
190,Marketing,5,105019.43,1.92,6.0,25,0.4,73,Low
191,Sales,21,72446.08,1.82,7.8,3,14.6,66,Low
192,Finance,5,86102.91,3.55,6.0,5,2.8,90,High
193,HR,10,39904.26,2.03,6.0,10,1.3,34,Low
194,Sales,10,72522.12,3.53,1.8,0,8.7,94,Low
195,HR,19,50360.84,1.23,4.1,29,11.3,14,Medium
196,Marketing,17,77904.54,1.57,3.5,23,3.0,15,Medium
197,Marketing,21,79720.0,2.1,4.5,22,0.2,12,Low
198,Engineering,14,79653.53,3.39,8.2,14,16.4,34,Medium
199,Finance,9,65397.55,3.7,4.3,26,18.9,74,Medium
200,HR,14,120969.38,2.77,5.1,10,12.8,58,Low
201,Sales,1,49639.57,2.78,4.6,24,5.7,20,Low
202,Marketing,19,48417.08,3.9,1.8,18,1.5,53,Medium
203,Engineering,13,108099.57,1.06,5.0,17,1.6,74,Low
204,Engineering,13,60914.42,2.36,2.8,16,9.2,29,High
205,HR,4,56106.19,4.27,2.7,18,8.3,47,Medium
206,Marketing,1,121058.24,3.41,1.8,20,16.2,34,High
207,Finance,17,94714.45,2.35,4.2,13,10.2,85,Low
208,Marketing,8,63110.71,4.62,7.8,26,7.0,37,High
209,HR,2,79350.16,4.09,3.5,17,13.4,30,Low
210,HR,8,113917.43,2.06,3.8,27,3.0,77,Low
211,Marketing,7,88832.41,3.58,6.8,18,1.9,23,Low
212,HR,2,100722.97,3.38,2.8,14,7.0,48,Low
213,Marketing,22,91096.06,2.6,9.1,14,21.0,95,Medium
214,Sales,22,93605.07,2.47,5.7,3,29.9,99,Low
215,Marketing,3,75794.83,2.37,,6,9.9,31,Low
216,Marketing,18,75226.97,3.47,6.0,12,3.5,54,Medium
217,HR,12,80341.01,2.77,2.5,2,9.3,78,Low
218,HR,1,89689.06,4.33,6.5,15,12.1,57,Medium
219,Engineering,22,69333.69,3.68,4.3,8,2.4,98,Low
220,Engineering,12,77441.08,1.28,9.1,7,19.4,2,Medium
221,Sales,5,68793.09,3.56,2.5,19,6.8,79,Medium
222,Engineering,17,77313.7,2.08,5.6,12,9.0,68,Low
223,Marketing,16,49980.07,3.37,6.4,16,10.3,84,Low
224,HR,15,127119.55,3.72,1.3,16,8.4,9,Low
225,Engineering,23,60341.2,1.92,4.3,16,11.7,82,Medium
226,Engineering,15,67770.79,2.83,7.6,0,0.1,24,Low
227,Sales,5,58614.71,1.76,8.4,7,0.5,67,Low
228,Sales,21,87314.17,1.21,3.8,18,3.8,60,Low
229,Marketing,14,,2.51,8.2,5,8.5,28,Low
230,HR,2,55723.85,2.45,9.7,2,11.2,18,Low
231,Sales,11,88137.67,4.98,8.7,26,8.7,42,Medium
232,Engineering,19,90832.98,2.79,2.1,4,18.4,65,Low
233,HR,7,73662.47,2.33,7.7,12,5.0,73,Low
234,HR,6,61727.48,3.32,3.9,14,10.3,60,Medium
235,Engineering,2,118821.32,1.36,9.9,13,3.7,42,Medium
236,Sales,6,81801.35,4.85,5.4,28,1.9,24,Low
237,Engineering,18,49518.62,3.54,2.1,22,10.6,19,Low
238,HR,2,103280.81,4.02,7.5,15,11.8,47,Low
239,Finance,18,57884.51,1.68,3.9,17,2.6,82,High
240,Finance,15,129837.57,2.64,10.0,21,4.4,86,Low
241,Marketing,19,76593.16,2.69,,28,7.1,23,High
242,Engineering,2,95266.32,4.29,6.9,21,2.1,10,Medium
243,Engineering,20,33399.65,1.0,2.2,10,12.1,97,Medium
244,Marketing,6,49317.18,2.2,7.2,2,9.6,54,Low
245,Marketing,1,101677.19,4.92,1.8,21,9.0,27,Low
246,Marketing,24,81356.3,2.9,,9,5.4,68,Low
247,HR,15,115847.93,2.53,8.4,9,5.1,62,Low
248,Engineering,23,84703.5,1.48,2.9,29,0.3,58,Medium
249,HR,10,77905.92,4.9,4.4,20,10.6,4,High
250,Marketing,19,109271.48,1.08,9.8,15,8.4,50,Medium
251,Engineering,17,95202.74,3.95,4.0,11,8.9,20,Medium
252,HR,5,71074.78,4.07,3.7,1,0.8,11,Low
253,HR,4,53117.92,1.97,9.3,8,12.2,49,Low
254,Marketing,10,27567.69,3.69,2.0,23,13.8,3,Low
255,Engineering,24,66246.69,1.37,7.8,2,1.2,41,Medium
256,Marketing,17,51273.3,2.03,9.9,23,1.9,83,High
257,Engineering,10,126954.09,4.15,9.1,29,10.5,37,Medium
258,Finance,17,61992.58,4.46,6.9,24,1.9,24,Low
259,Sales,20,61445.82,3.43,3.8,29,13.5,13,Low
260,Sales,24,44575.1,3.03,3.3,14,9.9,74,Medium
261,Sales,5,69673.65,1.64,8.4,2,10.5,31,Low
262,Marketing,2,61709.3,1.25,8.9,18,5.9,10,Medium
263,Finance,6,109754.59,1.47,5.7,17,14.7,60,Medium
264,Engineering,21,78369.52,1.91,3.2,7,7.1,17,Medium
265,HR,2,74822.72,2.37,2.0,25,2.0,26,Low
266,Engineering,13,72306.54,2.52,1.8,16,6.1,54,Low
267,HR,11,90723.5,2.39,7.5,7,9.2,53,Low
268,Engineering,11,65953.44,1.96,4.8,6,8.3,81,Low
269,Finance,16,88344.12,3.04,9.1,29,3.2,86,Low
270,HR,11,107279.4,4.3,7.7,6,5.8,74,Medium
271,Marketing,19,84201.5,2.12,2.7,2,7.2,20,Medium
272,Engineering,15,70005.37,4.77,6.5,0,13.9,43,Low
273,Engineering,23,55930.82,4.49,4.9,3,0.0,4,Low
274,HR,23,69497.52,1.65,6.2,24,17.3,86,Low
275,Marketing,16,86261.58,4.15,7.6,4,0.7,40,Low
276,Marketing,11,44349.45,3.3,8.3,0,8.7,58,Medium
277,Finance,22,91630.86,3.27,8.6,14,3.9,88,Low
278,Marketing,16,79152.25,2.56,3.3,4,14.9,53,Low
279,Marketing,8,72016.22,3.0,1.3,12,3.8,73,Low
280,Marketing,4,61811.73,2.59,7.7,7,0.6,21,High
281,Sales,8,65472.45,3.16,2.0,7,6.3,82,Medium
282,Finance,4,86946.12,3.51,3.8,4,9.0,64,Low
283,Engineering,24,72435.77,3.7,1.0,27,13.9,63,Medium
284,HR,3,64977.2,3.13,7.1,8,16.6,70,Medium
285,Engineering,3,84371.27,3.89,2.5,0,2.1,3,High
286,Finance,18,85163.8,1.57,6.9,3,5.6,64,Low
287,HR,19,50016.5,1.85,9.9,2,1.7,14,High
288,Finance,19,86429.61,4.27,1.7,1,7.1,75,High
289,Marketing,21,125033.96,2.29,1.7,7,2.7,21,High
290,HR,5,84392.42,1.09,4.1,22,2.7,85,Medium
291,Marketing,18,41019.86,1.62,,8,7.8,46,Medium
292,Engineering,10,78547.51,1.89,2.9,1,4.6,80,Low
293,Engineering,22,38383.69,4.83,4.2,13,5.3,92,Medium
294,HR,21,138347.43,3.29,1.6,13,1.1,45,Medium
295,HR,6,119713.49,4.73,7.9,3,3.2,13,Medium
296,Finance,1,61681.23,3.3,4.7,29,2.4,49,Low
297,Finance,5,30086.66,2.92,7.8,5,12.1,19,Medium
298,Marketing,9,57432.58,2.25,9.1,10,13.3,49,Medium
299,HR,12,71380.19,3.43,3.1,2,9.8,32,Low
300,Engineering,14,39762.73,1.56,8.3,7,2.4,58,Medium
301,Finance,2,73619.55,4.59,1.5,2,7.0,42,Medium
302,Finance,17,71248.43,4.32,9.1,13,0.2,78,Medium
303,Engineering,14,77503.09,2.27,,27,4.3,11,Low
304,Finance,13,79592.9,4.81,8.9,12,6.6,39,Low
305,Marketing,9,55687.65,4.3,1.0,12,2.4,19,High
306,HR,15,57931.72,3.67,2.5,1,3.0,93,Low
307,Engineering,22,75911.84,1.49,4.5,12,6.7,37,Medium
308,HR,15,62380.16,2.91,4.4,28,5.6,2,Low
309,Finance,24,93149.9,3.02,3.0,18,0.8,27,Medium
310,Finance,11,75717.89,1.93,4.4,26,6.4,55,Low
311,Engineering,16,112300.06,1.32,2.2,5,0.6,89,Medium
312,Marketing,17,91409.65,4.11,4.7,15,2.8,93,Low
313,Sales,4,97074.28,1.49,8.2,1,18.4,12,Low
314,Engineering,1,,3.38,5.3,7,15.7,76,Low
315,Sales,8,78147.23,4.75,1.2,16,5.4,65,Low
316,Sales,17,109626.41,4.5,4.8,22,11.6,36,High
317,Marketing,3,67434.14,2.11,1.2,1,11.5,48,High
318,Sales,20,85935.59,4.41,9.7,9,4.2,65,Low
319,Sales,15,69675.25,1.0,2.1,27,11.6,35,Medium
320,Marketing,15,,1.07,7.4,15,17.3,53,Low
321,Sales,24,51622.07,3.41,9.8,5,4.0,25,Medium
322,Sales,22,60149.71,2.46,8.4,27,2.3,74,Medium
323,Sales,14,56434.61,2.55,7.3,1,13.1,71,High
324,Engineering,23,86887.38,3.26,8.6,1,7.2,39,Low
325,Engineering,14,95804.12,1.77,9.8,25,9.4,42,Medium
326,Engineering,24,73104.93,1.85,6.6,12,7.7,21,Low
327,Marketing,2,79592.56,2.94,,23,8.1,19,High
328,Finance,13,71950.57,4.02,6.7,14,5.6,7,Low
329,Sales,14,58784.48,3.48,5.8,27,13.4,28,Medium
330,Sales,24,92245.26,2.19,6.7,1,14.4,39,Medium
331,Marketing,19,88050.69,2.72,5.0,6,3.2,89,Medium
332,Sales,7,37149.08,1.68,3.0,2,4.7,29,Low
333,Engineering,3,69337.82,1.3,2.1,7,7.2,80,High
334,Finance,15,57359.45,4.13,1.6,22,9.1,83,Low
335,HR,23,67181.23,2.06,3.4,13,9.6,54,Medium
336,Sales,14,61591.37,1.71,1.4,23,4.5,15,Low
337,Engineering,11,74071.59,3.77,6.1,29,14.0,45,Low
338,HR,15,68401.71,3.47,3.6,22,2.3,61,Medium
339,Finance,13,67977.19,3.53,8.4,26,9.5,6,Low
340,HR,18,97147.77,1.92,1.7,21,3.2,79,Low
341,Engineering,6,86143.57,1.93,3.0,28,4.8,44,Low
342,HR,3,60922.11,1.88,7.6,6,3.6,58,Low
343,Marketing,19,63889.07,1.7,6.4,20,6.8,55,Medium
344,HR,15,84835.86,3.62,1.6,6,2.0,47,High
345,Sales,23,84808.39,4.39,8.9,0,3.9,26,Low
346,Sales,5,62924.4,3.9,8.9,16,11.6,52,Low
347,Marketing,10,70320.19,4.17,4.0,8,1.5,86,Low
348,Engineering,7,111936.12,2.62,4.1,29,7.9,87,Low
349,Sales,17,63269.04,3.62,9.9,20,19.0,72,Medium
350,Finance,7,113216.09,2.42,6.6,12,16.1,34,Medium
351,Sales,22,97073.34,3.1,5.8,20,5.3,50,Low
352,Sales,12,109508.33,2.93,8.5,18,10.5,83,Low
353,Engineering,17,62418.56,1.71,3.6,20,1.0,36,Low
354,HR,13,71628.88,2.55,4.9,18,7.1,80,Medium
355,Sales,20,66016.72,4.86,3.4,24,7.4,94,High
356,Marketing,4,97535.06,1.99,8.1,24,3.1,56,Low
357,HR,10,63646.32,1.54,6.2,21,1.3,7,Low
358,Finance,3,89624.31,2.67,6.9,16,0.5,78,High
359,Engineering,9,88565.99,4.16,3.3,22,2.3,94,High
360,Finance,13,74039.41,3.33,3.0,22,1.7,93,Low
361,HR,18,100973.19,3.72,5.4,29,4.5,19,Low
362,HR,15,77153.6,1.76,7.6,9,0.7,52,Low
363,HR,4,91681.71,3.48,5.7,9,10.5,11,Medium
364,Finance,15,65105.93,2.29,1.3,3,16.9,48,Low
365,HR,22,60531.26,4.34,8.8,7,0.4,16,Low
366,Finance,2,89622.91,3.52,1.6,21,6.9,63,Medium
367,HR,15,83616.8,1.8,9.6,19,9.0,41,Low
368,Marketing,8,79866.15,1.26,1.2,19,8.8,93,Medium
369,HR,8,68126.23,1.17,7.3,17,5.6,28,Low
370,Finance,17,105984.19,2.49,1.7,13,10.9,18,Low
371,Sales,12,52668.28,2.06,9.2,17,8.9,10,Medium
372,HR,19,51573.14,3.58,5.2,27,4.9,97,Low
373,Sales,10,93843.33,3.0,2.2,13,12.0,49,High
374,Marketing,9,92201.93,2.06,4.1,19,12.1,70,Medium
375,Engineering,5,82075.26,1.6,2.5,20,1.1,57,Low
376,Marketing,6,69240.96,1.51,2.5,23,5.3,33,Medium
377,HR,20,85048.44,4.46,9.5,14,10.5,19,Low
378,Sales,2,109416.61,1.97,5.0,21,3.3,49,High
379,Sales,24,125310.92,3.61,8.1,29,13.6,87,Low
380,Finance,13,41871.73,4.24,6.8,3,23.9,9,Medium
381,Sales,6,66621.6,3.46,,12,1.3,31,Low
382,Finance,5,65364.53,4.44,,26,6.0,51,Low
383,Engineering,1,107530.39,2.57,3.1,22,7.4,14,Medium
384,HR,21,25374.1,4.82,8.1,7,10.8,83,Medium
385,Finance,22,85276.7,1.53,9.7,17,3.2,2,Low
386,Engineering,21,69863.79,1.41,3.4,11,16.6,36,Low
387,Sales,6,107762.25,3.63,3.4,22,5.7,39,Medium
388,Sales,6,105020.78,4.77,5.3,13,10.5,71,High
389,Engineering,23,,4.24,9.9,1,0.2,39,Low
390,Sales,16,43405.54,1.31,3.4,17,18.8,55,Low
391,Engineering,4,63522.21,2.12,4.7,23,20.9,22,Low
392,Finance,11,65712.18,4.72,9.0,1,1.1,10,High
393,Finance,24,48470.9,2.01,1.0,10,0.6,63,Low
394,Engineering,23,98091.69,4.12,1.4,8,11.9,7,Low
395,Finance,9,45931.47,4.3,6.4,11,1.9,92,Medium
396,Finance,23,114306.55,2.98,9.2,16,4.6,93,Low
397,Finance,3,114256.45,2.55,3.1,14,5.2,55,Low
398,Marketing,19,67298.79,2.8,5.2,24,10.4,59,Low
399,HR,8,81569.91,1.91,5.1,16,4.9,9,Low
400,Sales,5,73554.33,4.56,5.3,25,0.5,38,Low
401,Marketing,4,93036.5,2.8,6.6,28,1.1,27,Medium
402,Finance,24,100493.55,4.53,5.2,25,16.5,48,Low
403,Engineering,6,80159.94,1.42,5.0,17,5.1,35,Medium
404,Finance,2,84382.33,4.95,5.3,21,11.5,12,Medium
405,HR,20,62587.91,2.77,6.3,5,2.8,95,Medium
406,Finance,11,,1.19,5.8,16,2.8,35,Low
407,Engineering,4,78255.24,1.15,8.7,22,11.3,25,Low
408,HR,15,56764.11,3.98,1.4,23,7.7,85,Low
409,Finance,6,74719.26,3.64,8.5,17,9.6,3,Low
410,HR,22,,4.21,8.6,7,12.7,94,Low
411,Sales,17,62810.09,1.42,3.6,8,2.3,81,Medium
412,Sales,24,52070.18,1.14,5.2,5,0.1,63,Low
413,Finance,6,76250.05,3.03,4.9,4,3.7,37,Low
414,HR,19,59390.52,2.55,3.0,11,1.6,87,Low
415,Engineering,2,65577.84,2.85,4.6,24,28.6,86,Medium
416,Finance,15,96502.49,4.97,1.4,28,15.0,21,Low
417,Sales,11,87642.32,4.88,3.5,27,5.8,1,Medium
418,Sales,8,55424.67,4.77,8.4,10,5.6,30,Low
419,Finance,19,82037.82,4.14,,24,8.9,10,High
420,HR,13,77655.61,2.42,8.4,0,9.4,91,High
421,Sales,12,109033.92,2.65,5.8,10,9.4,45,Low
422,HR,5,,3.2,8.9,18,3.0,95,Low
423,Sales,6,44325.03,4.32,6.2,8,4.0,61,Low
424,Sales,22,92222.55,1.27,1.3,26,7.6,68,Low
425,Marketing,4,100303.95,2.7,7.1,1,5.7,63,Medium
426,Sales,19,86187.18,1.33,1.4,11,12.8,9,Medium
427,Engineering,20,68291.76,3.06,5.1,3,3.2,39,Medium
428,Finance,1,123267.88,4.6,9.4,3,1.8,23,Medium
429,Finance,20,88028.19,4.13,2.5,17,6.4,98,Low
430,HR,17,114530.89,1.91,4.5,14,28.9,43,Low
431,Sales,12,102029.57,4.9,7.6,18,7.9,59,Medium
432,Engineering,15,84282.69,3.67,8.9,12,2.5,61,Low
